"","SPECIES","COMMON","SCIENTIFIC","CONVERSION"
"1","1970","KING WHITING","Menticirrhus",1.14
"2","3446","SEA TROUT,GRAY,UNC","Cynoscion regalis",1.14
"3","0925","CROAKER,ATLANTIC,UNC","Micropogonias undulatus",1
"4","1940","KING MACKEREL","Scomberomorus",1.04
"5","3516","SHARK,HAMMERHEAD","Sphyrnidae",1.39
"6","3518","SHARK,ATLANTIC SHARPNOSE","Rhizoprionodon terraenovae",1.39
"7","0230","BLUEFISH","Pomatomus saltatrix",1.09
"8","0570","COBIA","Rachycentron canadum",1.04
"9","2210","MENHADEN","Brevoortia",1
"10","3496","SHARK,SPINNER","Carcharhinus brevipinna",1.39
"11","0521","BUTTERFISH,UNC","Peprilus",1
"12","3840","SPANISH MACKEREL","Scomberomorus maculatus",1.15
"13","0870","CREVALLE","Caranx hippos",1
"14","0990","CUTLASSFISH,ATLANTIC","Trichiurus lepturus",1
"15","4060","SPOT","Leiostomus xanthurus",1.04
"16","0270","BLUE RUNNER","Caranx crysos",1
"17","1799","JACKS,UNC.","Carangidae",1.04
"18","4653","TUNA,LITTLE (TUNNY)","Euthynnus alletteratus",1.25
"19","4410","TENPOUNDER","Elops saurus",1
"20","1050","DOLPHINFISH","Coryphaena",1.2
"21","4710","WAHOO","Acanthocybium solandri",1.04
"22","0180","BARRACUDA","Sphyraena
",1.11
"23","3767","SNAPPER,YELLOWTAIL","Ocyurus chrysurus",1.11
"24","3763","SNAPPER,MUTTON","Lutjanus analis",1.11
"25","1416","GROUPER,RED","Epinephelus morio",1.18
"26","1423","GROUPER,GAG","Mycteroperca microlepis",1.18
"27","3302","PORGY,RED,UNC","Pagrus pagrus",1.04
"28","3762","SNAPPER,MANGROVE","Lutjanus griseus",1.11
"29","3764","SNAPPER,RED","Lutjanus campechanus",1.11
"30","3765","SNAPPER,VERMILION","Rhomboplites aurorubens",1.11
"31","4561","TRIGGERFISH,GRAY","Balistes capriscus",1.04
"32","1424","SCAMP","Mycteroperca phenax",1.18
"33","1440","GRUNTS","Haemulidae",1.04
"34","3761","SNAPPER,LANE","Lutjanus synagris",1.11
"35","3312","PORGY,JOLTHEAD","Calamus bajonado",1.04
"36","3511","SHARK,DOGFISH,SMOOTH","Mustelus canis",1.39
"37","3495","SHARK,BLACKTIP","Carcharhinus limbatus",1.39
"38","1415","GROUPER,YELLOWEDGE","Epinephelus flavolimbatus",1.18
"39","1550","HAKE,ATLANTIC,RED & WHITE","Urophycis",1
"40","1810","JACK,ALMACO","Seriola rivoliana",1.04
"41","3306","PORGY,WHITEBONE","Calamus leucosteus",1.04
"42","3758","SNAPPER,SILK","Lutjanus vivanus",1.11
"43","4740","GROUPER,WARSAW","Epinephelus nigritus",1.18
"44","1411","HIND,SPECKLED","Epinephelus drummondhayi",1.18
"45","1413","HIND,RED","Epinephelus guttatus",1.18
"46","1817","BANDED RUDDERFISH","Seriola zonata",1.04
"47","3757","SNAPPER,BLACKFIN","Lutjanus buccanella",1.11
"48","4563","TRIGGERFISH,QUEEN","Balistes vetula",1.04
"49","1414","GROUPER,SNOWY","Epinephelus niveatus",1.18
"50","1812","AMBERJACK,GREATER","Seriola dumerili",1.04
"51","3360","SEA BASSE,ATLANTIC,BLACK,UNC","Centropristis striata",1.18
"52","1938","CERO","Scomberomorus regalis",1.04
"53","1442","MARGATE","Haemulon album",1.04
"54","1422","GROUPER,BLACK","Mycteroperca bonaci",1.18
"55","1790","HOGFISH","Lachnolaimus maximus",1
"56","4470","TILEFISH","Lopholatilus chamaeleonticeps",1.12
"57","1441","GRUNT,WHITE","Haemulon plumieri",1.04
"58","4562","TRIGGERFISH,OCEAN","Canthidermis sufflamen",1.04
"59","1430","GROUPER,NASSAU","Epinephelus striatus",1.18
"60","1811","JACK,BAR","Caranx ruber",1.04
"61","3755","SNAPPER,BLACK","Apsilus dentatus",1.11
"62","1412","HIND,ROCK","Epinephelus adscensionis",1.18
"63","1417","GROUPER,MARBLED","Epinephelus inermis",1.18
"64","1426","GROUPER,YELLOWFIN","Mycteroperca venenosa",1.18
"65","3759","SNAPPER,CUBERA","Lutjanus cyanopterus",1.11
"66","3770","SNAPPER,QUEEN","Etelis oculatus",1.11
"67","3455","SEA TROUT,WHITE","Cynoscion arenarius",1
